I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 3  30.851944444   49.505277778       85    11360   130      3.000  OMD ENRT OI OMIDIYEH TACAN
12  30.851944444   49.505277778       85    11360   130      0.000  OMD ENRT OI OMIDIYEH TACAN DME
13  40.964416667   38.094555556       33    11440   130      0.000  ORI ENRT LT ORDU-GIRESUN DME
 3  29.966000000   34.945555556     1400    11410    25      4.000  OVD ENRT LL OVDA VOR/DME
12  29.966000000   34.945555556     1400    11410    25      0.000  OVD ENRT LL OVDA VOR/DME
 2  11.966955556   79.812922222        0      385    50      0.000   OM ENRT VO PUDUCHERRY NDB
 2  30.833333333   49.533333333        0      348    50      0.000  OMD ENRT OI OMIDIYEH NDB
 2  25.270294444   64.589194444        0      380    25      0.000   OR ENRT OP ORMARA NDB
 2  40.964416667   38.094555556        0      315    25      0.000  ORI ENRT LT ORDU-GIRESUN NDB
 2  20.090866667   73.909883333        0      324    25      0.000  OZR ENRT VA OZAR NDB
 4  34.962633333   69.277655556     4865    11070    25     29.747 IBAG OAIX OA 03R ILS-cat-I
 6  34.933447222   69.258847222     4865    11070    25 300029.747 IBAG OAIX OA 03R GS
12  34.933444444   69.258838889     4852    11070    25      0.000 IBAG OAIX OA BAGRAM DME-ILS
 4  34.571200000   69.191519444     5872    11050    25    287.339 IAKW OAKB OA 29 ILS-cat-I
 6  34.562927778   69.228069444     5872    11050    25 350287.339 IAKW OAKB OA 29 GS
12  34.562927778   69.228069444     5879    11050    25      0.000 IAKW OAKB OA HAMID KARZAI INTL DME-ILS
 4  31.495291667   65.830019444     3333    10855    25    235.081 IOKN OAKN OA 23 ILS-cat-I
 6  31.513286111   65.858002778     3333    10855    25 300235.081 IOKN OAKN OA 23 GS
12  31.513294444   65.857933333     3346    10855    25      0.000 IOKN OAKN OA KANDAHAR DME-ILS
 4  36.699111111   67.196111111     1287    10910    25    245.899 IMAS OAMS OA 24 ILS-cat-I
 6  36.711888889   67.227694444     1287    10910    25 300245.899 IMAS OAMS OA 24 GS
12  36.711888889   67.227694444     1274    10910    25      0.000 IMAS OAMS OA MAWLANA JALALUDIN MUHAMMA DME-ILS
 4  36.713222222   67.235444444     1287    10990    25     65.899 IMAZ OAMS OA 06 ILS-cat-I
 6  36.701083333   67.205583333     1287    10990    25 300065.899 IMAZ OAMS OA 06 GS
12  36.701083333   67.205583333     1298    10990    25      0.000 IMAZ OAMS OA MAWLANA JALALUDIN MUHAMMA DME-ILS
 4  26.282127778   50.614061111       42    11030    25    302.766 IBIA OBBI OB 30R ILS-cat-I
 6  26.265322222   50.645786111       42    11030    25 300302.766 IBIA OBBI OB 30R GS
12  26.265322222   50.645786111       42    11030    25      0.000 IBIA OBBI OB BAHRAIN INTL DME-ILS
 4  26.259655556   50.653000000        6    11150    25    122.766 IBIB OBBI OB 12L ILS-cat-I
 6  26.278308333   50.622897222        6    11150    25 300122.766 IBIB OBBI OB 12L GS
